date,v
1981-04-13 00:00:00+00:00,675.4
1981-04-14 00:00:00+00:00,676.7
1981-04-15 00:00:00+00:00,676.7
1981-04-16 00:00:00+00:00,676.7
1981-04-17 00:00:00+00:00,676.75
1981-04-20 00:00:00+00:00,676.7
1981-04-21 00:00:00+00:00,676.7
1981-04-22 00:00:00+00:00,676.7
1981-04-23 00:00:00+00:00,676.7
1981-04-24 00:00:00+00:00,678.1
1981-04-27 00:00:00+00:00,678.1
1981-04-28 00:00:00+00:00,678.1
1981-04-29 00:00:00+00:00,678.1
1981-04-30 00:00:00+00:00,678.9
1981-05-01 00:00:00+00:00,679.6
1981-05-04 00:00:00+00:00,679.6
1981-05-05 00:00:00+00:00,679.6
1981-05-06 00:00:00+00:00,680.1
1981-05-07 00:00:00+00:00,680.1
1981-05-08 00:00:00+00:00,680.4
1981-05-11 00:00:00+00:00,680.4
1981-05-12 00:00:00+00:00,680.8
1981-05-13 00:00:00+00:00,680.8
1981-05-14 00:00:00+00:00,682.1
1981-05-15 00:00:00+00:00,682.8
1981-05-18 00:00:00+00:00,682.9
1981-05-19 00:00:00+00:00,682.9
1981-05-20 00:00:00+00:00,683.1
1981-05-21 00:00:00+00:00,683.1
1981-05-22 00:00:00+00:00,683.1
1981-05-26 00:00:00+00:00,683.8
1981-05-27 00:00:00+00:00,684.1
1981-05-28 00:00:00+00:00,684.4
1981-05-29 00:00:00+00:00,684.4
1981-06-01 00:00:00+00:00,684.4
1981-06-02 00:00:00+00:00,684.4
1981-06-03 00:00:00+00:00,684.4
1981-06-04 00:00:00+00:00,684.4
1981-06-05 00:00:00+00:00,684.6
1981-06-08 00:00:00+00:00,684.6
1981-06-09 00:00:00+00:00,684.6
1981-06-10 00:00:00+00:00,684.6
1981-06-11 00:00:00+00:00,684.6
1981-06-12 00:00:00+00:00,684.6
1981-06-15 00:00:00+00:00,684.6
1981-06-16 00:00:00+00:00,684.6
1981-06-17 00:00:00+00:00,684.6
1981-06-18 00:00:00+00:00,684.6
1981-06-19 00:00:00+00:00,684.6
1981-06-22 00:00:00+00:00,684.6
1981-06-23 00:00:00+00:00,684.6
1981-06-24 00:00:00+00:00,684.6
1981-06-25 00:00:00+00:00,684.6
1981-06-26 00:00:00+00:00,683.2
1981-06-29 00:00:00+00:00,683.2
1981-06-30 00:00:00+00:00,683.2
1981-07-01 00:00:00+00:00,683.2
1981-07-02 00:00:00+00:00,685.8
1981-07-03 00:00:00+00:00,686.1
1981-07-06 00:00:00+00:00,686.1
1981-07-07 00:00:00+00:00,686.7
1981-07-08 00:00:00+00:00,686.7
1981-07-09 00:00:00+00:00,686.7
1981-07-10 00:00:00+00:00,686.7
1981-07-13 00:00:00+00:00,686.7
1981-07-14 00:00:00+00:00,686.7
1981-07-15 00:00:00+00:00,686.7
1981-07-16 00:00:00+00:00,686.7
1981-07-17 00:00:00+00:00,686.7
1981-07-20 00:00:00+00:00,686.7
1981-07-21 00:00:00+00:00,686.7
1981-07-22 00:00:00+00:00,686.7
1981-07-23 00:00:00+00:00,686.7
1981-07-24 00:00:00+00:00,686.7
1981-07-27 00:00:00+00:00,686.7
1981-07-28 00:00:00+00:00,686.7
1981-07-29 00:00:00+00:00,686.7
1981-07-30 00:00:00+00:00,686.7
1981-07-31 00:00:00+00:00,686.95
1981-08-03 00:00:00+00:00,687.25
1981-08-04 00:00:00+00:00,687.55
1981-08-05 00:00:00+00:00,687.85
1981-08-06 00:00:00+00:00,687.85
1981-08-07 00:00:00+00:00,687.85
1981-08-10 00:00:00+00:00,687.85
1981-08-11 00:00:00+00:00,687.85
1981-08-12 00:00:00+00:00,687.85
1981-08-13 00:00:00+00:00,687.85
1981-08-14 00:00:00+00:00,687.85
1981-08-17 00:00:00+00:00,687.85
1981-08-18 00:00:00+00:00,687.85
1981-08-19 00:00:00+00:00,687.85
1981-08-20 00:00:00+00:00,687.85
1981-08-21 00:00:00+00:00,687.85
1981-08-24 00:00:00+00:00,687.85
1981-08-25 00:00:00+00:00,687.85
1981-08-26 00:00:00+00:00,687.85
1981-08-27 00:00:00+00:00,687.85
1981-08-28 00:00:00+00:00,687.85
1981-08-31 00:00:00+00:00,687.85
1981-09-01 00:00:00+00:00,687.85
1981-09-02 00:00:00+00:00,687.85
1981-09-03 00:00:00+00:00,687.85
1981-09-04 00:00:00+00:00,687.85
1981-09-08 00:00:00+00:00,687.85
1981-09-09 00:00:00+00:00,687.85
1981-09-10 00:00:00+00:00,687.85
1981-09-11 00:00:00+00:00,687.85
1981-09-14 00:00:00+00:00,688.1
1981-09-15 00:00:00+00:00,688.1
1981-09-16 00:00:00+00:00,688.1
1981-09-17 00:00:00+00:00,688.1
1981-09-18 00:00:00+00:00,688.1
1981-09-21 00:00:00+00:00,688.1
1981-09-22 00:00:00+00:00,688.1
1981-09-23 00:00:00+00:00,688.1
1981-09-24 00:00:00+00:00,688.1
1981-09-25 00:00:00+00:00,681.25
1981-09-28 00:00:00+00:00,681.25
1981-09-29 00:00:00+00:00,681.25
1981-09-30 00:00:00+00:00,681.25
1981-10-01 00:00:00+00:00,681.25
1981-10-02 00:00:00+00:00,681.25
1981-10-05 00:00:00+00:00,688.1
1981-10-06 00:00:00+00:00,681.25
1981-10-07 00:00:00+00:00,681.25
1981-10-08 00:00:00+00:00,681.25
1981-10-09 00:00:00+00:00,681.25
1981-10-13 00:00:00+00:00,681.25
1981-10-14 00:00:00+00:00,681.25
1981-10-15 00:00:00+00:00,681.25
1981-10-16 00:00:00+00:00,685.25
1981-10-19 00:00:00+00:00,685.25
1981-10-20 00:00:00+00:00,685.25
1981-10-21 00:00:00+00:00,685.25
1981-10-22 00:00:00+00:00,685.25
1981-10-23 00:00:00+00:00,685.25
1981-10-26 00:00:00+00:00,685.25
1981-10-27 00:00:00+00:00,685.25
1981-10-28 00:00:00+00:00,685.25
1981-10-29 00:00:00+00:00,685.25
1981-10-30 00:00:00+00:00,688.25
1981-11-02 00:00:00+00:00,688.25
1981-11-04 00:00:00+00:00,688.25
1981-11-05 00:00:00+00:00,688.25
1981-11-06 00:00:00+00:00,688.25
1981-11-09 00:00:00+00:00,688.25
1981-11-10 00:00:00+00:00,688.25
1981-11-12 00:00:00+00:00,688.45
1981-11-13 00:00:00+00:00,688.45
1981-11-16 00:00:00+00:00,688.45
1981-11-17 00:00:00+00:00,688.45
1981-11-18 00:00:00+00:00,688.45
1981-11-19 00:00:00+00:00,688.45
1981-11-20 00:00:00+00:00,688.45
1981-11-23 00:00:00+00:00,688.45
1981-11-24 00:00:00+00:00,688.45
1981-11-25 00:00:00+00:00,688.8
1981-11-27 00:00:00+00:00,689.9
1981-11-30 00:00:00+00:00,689.9
1981-12-01 00:00:00+00:00,689.9
