date,v
1971-01-04 00:00:00+00:00,357.73
1971-01-05 00:00:00+00:00,357.81
1971-01-06 00:00:00+00:00,357.86
1971-01-07 00:00:00+00:00,357.87
1971-01-08 00:00:00+00:00,357.82
1971-01-11 00:00:00+00:00,357.95
1971-01-12 00:00:00+00:00,358.06
1971-01-13 00:00:00+00:00,358.44
1971-01-14 00:00:00+00:00,358.4
1971-01-15 00:00:00+00:00,358.4
1971-01-18 00:00:00+00:00,358.29
1971-01-19 00:00:00+00:00,358.35
1971-01-20 00:00:00+00:00,358.4
1971-01-21 00:00:00+00:00,358.27
1971-01-22 00:00:00+00:00,357.9
1971-01-25 00:00:00+00:00,357.73
1971-01-26 00:00:00+00:00,357.78
1971-01-27 00:00:00+00:00,357.79
1971-01-28 00:00:00+00:00,357.83
1971-01-29 00:00:00+00:00,357.72
1971-02-01 00:00:00+00:00,357.67
1971-02-02 00:00:00+00:00,357.55
1971-02-03 00:00:00+00:00,357.54
1971-02-04 00:00:00+00:00,357.51
1971-02-05 00:00:00+00:00,357.53
1971-02-08 00:00:00+00:00,357.49
1971-02-09 00:00:00+00:00,357.5
1971-02-10 00:00:00+00:00,357.5
1971-02-11 00:00:00+00:00,357.5
1971-02-16 00:00:00+00:00,357.53
1971-02-17 00:00:00+00:00,357.53
1971-02-18 00:00:00+00:00,357.53
1971-02-19 00:00:00+00:00,357.56
1971-02-22 00:00:00+00:00,357.6
1971-02-23 00:00:00+00:00,357.55
1971-02-24 00:00:00+00:00,357.6
1971-02-25 00:00:00+00:00,357.56
1971-02-26 00:00:00+00:00,357.56
1971-03-01 00:00:00+00:00,357.63
1971-03-02 00:00:00+00:00,357.56
1971-03-03 00:00:00+00:00,357.49
1971-03-04 00:00:00+00:00,357.45
1971-03-05 00:00:00+00:00,357.59
1971-03-08 00:00:00+00:00,357.55
1971-03-09 00:00:00+00:00,357.46
1971-03-10 00:00:00+00:00,357.59
1971-03-11 00:00:00+00:00,357.56
1971-03-12 00:00:00+00:00,357.58
1971-03-15 00:00:00+00:00,357.54
1971-03-16 00:00:00+00:00,357.49
1971-03-17 00:00:00+00:00,357.53
1971-03-18 00:00:00+00:00,357.56
1971-03-19 00:00:00+00:00,357.56
1971-03-22 00:00:00+00:00,357.44
1971-03-23 00:00:00+00:00,357.53
1971-03-24 00:00:00+00:00,357.53
1971-03-25 00:00:00+00:00,357.47
1971-03-26 00:00:00+00:00,357.47
1971-03-29 00:00:00+00:00,357.44
1971-03-30 00:00:00+00:00,357.49
1971-03-31 00:00:00+00:00,357.42
1971-04-01 00:00:00+00:00,357.49
1971-04-02 00:00:00+00:00,357.53
1971-04-05 00:00:00+00:00,357.5
1971-04-06 00:00:00+00:00,357.46
1971-04-07 00:00:00+00:00,357.55
1971-04-08 00:00:00+00:00,357.55
1971-04-09 00:00:00+00:00,357.5
1971-04-12 00:00:00+00:00,357.5
1971-04-13 00:00:00+00:00,357.62
1971-04-14 00:00:00+00:00,357.58
1971-04-15 00:00:00+00:00,357.5
1971-04-16 00:00:00+00:00,357.54
1971-04-19 00:00:00+00:00,357.49
1971-04-20 00:00:00+00:00,357.49
1971-04-21 00:00:00+00:00,357.49
1971-04-22 00:00:00+00:00,357.49
1971-04-23 00:00:00+00:00,357.49
1971-04-26 00:00:00+00:00,357.5
1971-04-27 00:00:00+00:00,357.49
1971-04-28 00:00:00+00:00,357.5
1971-04-29 00:00:00+00:00,357.41
1971-04-30 00:00:00+00:00,357.4
1971-05-03 00:00:00+00:00,357.41
1971-05-04 00:00:00+00:00,357.4
1971-05-05 00:00:00+00:00,357.4
1971-05-06 00:00:00+00:00,357.41
1971-05-07 00:00:00+00:00,357.41
1971-05-10 00:00:00+00:00,357.14
1971-05-11 00:00:00+00:00,357.44
1971-05-12 00:00:00+00:00,357.53
1971-05-13 00:00:00+00:00,357.49
1971-05-14 00:00:00+00:00,357.49
1971-05-17 00:00:00+00:00,357.4
1971-05-18 00:00:00+00:00,357.44
1971-05-19 00:00:00+00:00,357.4
1971-05-20 00:00:00+00:00,357.46
1971-05-21 00:00:00+00:00,357.4
1971-05-24 00:00:00+00:00,357.4
1971-05-25 00:00:00+00:00,357.4
1971-05-26 00:00:00+00:00,357.44
1971-05-27 00:00:00+00:00,357.4
1971-05-28 00:00:00+00:00,357.4
1971-06-01 00:00:00+00:00,357.46
1971-06-02 00:00:00+00:00,357.4
1971-06-03 00:00:00+00:00,357.46
1971-06-04 00:00:00+00:00,357.4
1971-06-07 00:00:00+00:00,357.4
1971-06-08 00:00:00+00:00,357.4
1971-06-09 00:00:00+00:00,357.4
1971-06-10 00:00:00+00:00,357.4
1971-06-11 00:00:00+00:00,357.4
1971-06-14 00:00:00+00:00,357.4
1971-06-15 00:00:00+00:00,357.46
1971-06-16 00:00:00+00:00,357.46
1971-06-17 00:00:00+00:00,357.46
1971-06-18 00:00:00+00:00,357.4
1971-06-21 00:00:00+00:00,357.4
1971-06-22 00:00:00+00:00,357.4
1971-06-23 00:00:00+00:00,357.4
1971-06-24 00:00:00+00:00,357.4
1971-06-25 00:00:00+00:00,357.4
1971-06-28 00:00:00+00:00,357.37
1971-06-29 00:00:00+00:00,357.39
1971-06-30 00:00:00+00:00,357.4
1971-07-01 00:00:00+00:00,357.4
1971-07-02 00:00:00+00:00,357.4
1971-07-06 00:00:00+00:00,357.45
1971-07-07 00:00:00+00:00,357.46
1971-07-08 00:00:00+00:00,357.46
1971-07-09 00:00:00+00:00,357.4
1971-07-12 00:00:00+00:00,357.41
1971-07-13 00:00:00+00:00,357.44
1971-07-14 00:00:00+00:00,357.4
1971-07-15 00:00:00+00:00,357.4
1971-07-16 00:00:00+00:00,357.4
1971-07-19 00:00:00+00:00,357.39
1971-07-20 00:00:00+00:00,357.39
1971-07-21 00:00:00+00:00,357.4
1971-07-22 00:00:00+00:00,357.37
1971-07-23 00:00:00+00:00,357.36
1971-07-26 00:00:00+00:00,357.4
1971-07-27 00:00:00+00:00,357.37
1971-07-28 00:00:00+00:00,357.4
1971-07-29 00:00:00+00:00,357.4
1971-07-30 00:00:00+00:00,357.39
1971-08-02 00:00:00+00:00,357.41
1971-08-03 00:00:00+00:00,357.37
1971-08-04 00:00:00+00:00,357.37
1971-08-05 00:00:00+00:00,357.37
1971-08-06 00:00:00+00:00,357.37
1971-08-09 00:00:00+00:00,357.35
1971-08-10 00:00:00+00:00,357.39
1971-08-11 00:00:00+00:00,357.35
1971-08-12 00:00:00+00:00,357.4
1971-08-13 00:00:00+00:00,357.35
1971-08-31 00:00:00+00:00,339.85
1971-09-01 00:00:00+00:00,341.01
1971-09-02 00:00:00+00:00,338.98
1971-09-03 00:00:00+00:00,340.14
1971-09-07 00:00:00+00:00,339.79
1971-09-08 00:00:00+00:00,339.39
1971-09-09 00:00:00+00:00,339.07
1971-09-10 00:00:00+00:00,338.81
1971-09-13 00:00:00+00:00,338.98
1971-09-14 00:00:00+00:00,338.24
1971-09-15 00:00:00+00:00,338.41
1971-09-16 00:00:00+00:00,337.84
1971-09-17 00:00:00+00:00,337.95
1971-09-20 00:00:00+00:00,337.27
1971-09-21 00:00:00+00:00,337.34
1971-09-22 00:00:00+00:00,337.44
1971-09-23 00:00:00+00:00,337.27
1971-09-24 00:00:00+00:00,336.98
